region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
          городские округа  ;;;;;
        Кировский ;241100;110368;130732;45,8;54,2
        Ленинский ;195025;90586;104439;46,4;53,6
        Октябрьский ;164671;74506;90165;45,2;54,8
        Советский;260494;119760;140734;46;54
        Центральный ;272726;123345;149381;45,2;54,8
      пгт Береговой;8058;4302;3756;53,4;46,6
      пгт Входной;7914;3534;4380;44,7;55,3
      пгт Крутая Горка;6861;3161;3700;46,1;53,9
  г. Исилькуль;26549;12357;14192;46,5;53,5
  г. Калачинск;24247;10968;13279;45,2;54,8
  г. Называевск;13012;5958;7054;45,8;54,2
  г. Тара с подчиненными его администрации населенными пунктами ;26981;12273;14708;45,5;54,5
    Городское население - г. Тара              ;26888;12233;14655;45,5;54,5
    Сельское население;93;40;53;43;57
  г. Тюкалинск;12007;5506;6501;45,9;54,1
  Азовский немецкий национальный район - сельское население;22346;10765;11581;48,2;51,8
      с. Азово (рц);5376;2548;2828;47,4;52,6
      прочие сельские населенные пункты;16970;8217;8753;48,4;51,6
  Большереченский район;34037;15976;18061;46,9;53,1
    Городское население - пгт Большеречье  (рц);12361;5723;6638;46,3;53,7
    Сельское население;21676;10253;11423;47,3;52,7
  Большеуковский район - сельское население;9707;4654;5053;47,9;52,1
      с. Большие Уки (рц);4384;2082;2302;47,5;52,5
      прочие сельские населенные пункты;5323;2572;2751;48,3;51,7
  Горьковский район;24718;11780;12938;47,7;52,3
    Городское население - пгт Горьковское (рц)  ;5713;2662;3051;46,6;53,4
    Сельское население;19005;9118;9887;48;52
  Знаменский район - сельское население  ;13876;6611;7265;47,6;52,4
      с. Знаменское (рц);5457;2536;2921;46,5;53,5
      прочие сельские населенные пункты;8419;4075;4344;48,4;51,6
  Исилькульский район - сельское население  ;22216;10752;11464;48,4;51,6
  Калачинский район - сельское население;21810;10329;11481;47,4;52,6
  Колосовский район - сельское население;15763;7446;8317;47,2;52,8
      с. Колосовка (рц);5829;2732;3097;46,9;53,1
      прочие сельские населенные пункты;9934;4714;5220;47,5;52,5
  Кормиловский район;25989;12236;13753;47,1;52,9
    Городское население - пгт Кормиловка (рц);10290;4755;5535;46,2;53,8
    Сельское население;15699;7481;8218;47,7;52,3
  Крутинский район;21287;10176;11111;47,8;52,2
    Городское население - пгт Крутинка (рц);7846;3656;4190;46,6;53,4
    Сельское население;13441;6520;6921;48,5;51,5
  Любинский район;42123;19991;22132;47,5;52,5
    Городское население;15975;7214;8761;45,2;54,8
      пгт Любинский (рц);10588;4773;5815;45,1;54,9
      пгт Красный Яр;5387;2441;2946;45,3;54,7
    Сельское население;26148;12777;13371;48,9;51,1
  Марьяновский район ;27802;13104;14698;47,1;52,9
    Городское население - пгт Марьяновка (рц);8403;3858;4545;45,9;54,1
    Сельское население;19399;9246;10153;47,7;52,3
  Москаленский район ;32053;15173;16880;47,3;52,7
    Городское население - пгт Москаленки (рц);9872;4466;5406;45,2;54,8
    Сельское население;22181;10707;11474;48,3;51,7
  Муромцевский район;28380;13331;15049;47;53
    Городское население - пгт Муромцево (рц);11283;5209;6074;46,2;53,8
    Сельское население;17097;8122;8975;47,5;52,5
  Называевский район - сельское население;17654;8600;9054;48,7;51,3
  Нижнеомский район - сельское население;19766;9341;10425;47,3;52,7
      с. Нижняя Омка (рц);5310;2438;2872;45,9;54,1
      прочие сельские населенные пункты;14456;6903;7553;47,8;52,2
  Нововаршавский район;27461;13047;14414;47,5;52,5
    Городское население;10375;4878;5497;47;53
      пгт Нововаршавка (рц);6566;3077;3489;46,9;53,1
      пгт Большегривское;3809;1801;2008;47,3;52,7
    Сельское население;17086;8169;8917;47,8;52,2
  Одесский район - сельское население;18652;8702;9950;46,7;53,3
      с. Одесское (рц);6098;2784;3314;45,7;54,3
      прочие сельские населенные пункты;12554;5918;6636;47,1;52,9
  Оконешниковский район;17280;8251;9029;47,7;52,3
    Городское население - пгт Оконешниково (рц);5568;2590;2978;46,5;53,5
    Сельское население;11712;5661;6051;48,3;51,7
  Омский район;94251;44273;49978;47;53
    Городское население - пгт Чернолучинский ;2724;1192;1532;43,8;56,2
    Сельское население;91527;43081;48446;47,1;52,9
      п. Иртышский;3324;1549;1775;46,6;53,4
      п. Ключи;4013;1842;2171;45,9;54,1
      с. Красноярка;4055;1899;2156;46,8;53,2
      с. Лузино;10017;4614;5403;46,1;53,9
      п. Новоомский;4521;2108;2413;46,6;53,4
      п. Ростовка;5489;2611;2878;47,6;52,4
      с. Троицкое;3959;1882;2077;47,5;52,5
      прочие сельские населенные пункты;56149;26576;29573;47,3;52,7
  Павлоградский район   ;21608;10232;11376;47,4;52,6
    Городское население - пгт Павлоградка (рц);6223;2849;3374;45,8;54,2
    Сельское население;15385;7383;8002;48;52
  Полтавский район  ;24721;11762;12959;47,6;52,4
    Городское население - пгт Полтавка (рц);7189;3334;3855;46,4;53,6
    Сельское население;17532;8428;9104;48,1;51,9
  Русско-Полянский район ;24481;11651;12830;47,6;52,4
    Городское население - пгт Русская Поляна (рц);6532;2996;3536;45,9;54,1
    Сельское население;17949;8655;9294;48,2;51,8
  Саргатский район ;22320;10404;11916;46,6;53,4
    Городское население - пгт Саргатское (рц);8386;3746;4640;44,7;55,3
    Сельское население;13934;6658;7276;47,8;52,2
  Седельниковский район - сельское население;12211;5852;6359;47,9;52,1
      с. Седельниково (рц);5055;2355;2700;46,6;53,4
      прочие сельские населенные пункты;7156;3497;3659;48,9;51,1
  Таврический район;38840;18516;20324;47,7;52,3
    Городское население - пгт Таврическое (рц);13222;6332;6890;47,9;52,1
    Сельское население;25618;12184;13434;47,6;52,4
      с. Сосновское;3380;1553;1827;45,9;54,1
      прочие сельские населенные пункты;22238;10631;11607;47,8;52,2
  Тарский район - сельское население;22684;10987;11697;48,4;51,6
  Тевризский район    ;18090;8870;9220;49;51
    Городское население - пгт Тевриз (рц) ;7358;3496;3862;47,5;52,5
    Сельское население;10732;5374;5358;50,1;49,9
  Тюкалинский район - сельское население;19128;9280;9848;48,5;51,5
  Усть-Ишимский район - сельское население;16479;7904;8575;48;52
      с. Усть-Ишим (рц);5060;2314;2746;45,7;54,3
      прочие сельские населенные пункты;11419;5590;5829;49;51
  Черлакский район;36356;17023;19333;46,8;53,2
    Городское население - пгт Черлак (рц);12269;5618;6651;45,8;54,2
    Сельское население;24087;11405;12682;47,3;52,7
  Шербакульский район;25486;12236;13250;48;52
    Городское население - пгт Шербакуль (рц);7339;3374;3965;46;54
    Сельское население;18147;8862;9285;48,8;51,2
Томская область;1046039;493373;552666;47,2;52,8
    Городское население;708541;331084;377457;46,7;53,3
    Сельское население;337498;162289;175209;48,1;51,9
  г. Томск;487838;226159;261679;46,4;53,6
          городские районы;;;;;
        Кировский;119578;55300;64278;46,2;53,8
        Ленинский;113498;51890;61608;45,7;54,3
        Октябрьский;147051;69368;77683;47,2;52,8
        Советский;107711;49601;58110;46,1;53,9
  г. Асино;28068;13573;14495;48,4;51,6
  г. Кедровый с подчиненными его администрации населенными пунктами;4919;2412;2507;49;51
    Городское население - г. Кедровый;3052;1464;1588;48;52
    Сельское население;1867;948;919;50,8;49,2
  г. Колпашево;28441;13372;15069;47;53
  г. Северск с подчиненными его администрации населенными пунктами;115619;54295;61324;47;53
    Городское население - г. Северск;109106;51160;57946;46,9;53,1
    Сельское население;6513;3135;3378;48,1;51,9
      п. Самусь;5690;2744;2946;48,2;51,8
      прочие сельские населенные пункты;823;391;432;47,5;52,5
  г. Стрежевой;43815;21405;22410;48,9;51,1
  Александровский район - сельское население;10136;5013;5123;49,5;50,5
      с. Александровское (рц);7976;3910;4066;49;51
      прочие сельские населенные пункты;2160;1103;1057;51,1;48,9
  Асиновский район - сельское население;12911;6290;6621;48,7;51,3
  Бакчарский район - сельское население;15963;7703;8260;48,3;51,7
      с. Бакчар (рц);7174;3420;3754;47,7;52,3
      прочие сельские населенные пункты;8789;4283;4506;48,7;51,3
  Верхнекетский район;18300;8983;9317;49,1;50,9
    Городское население - пгт Белый Яр (рц);8221;3951;4270;48,1;51,9
    Сельское население;10079;5032;5047;49,9;50,1
  Зырянский район - сельское население;16052;7594;8458;47,3;52,7
      с. Зырянское (рц);6267;2885;3382;46;54
      прочие сельские населенные пункты;9785;4709;5076;48,1;51,9
  Каргасокский район - сельское население;24756;12176;12580;49,2;50,8
      с. Каргасок (рц);8547;4062;4485;47,5;52,5
      прочие сельские населенные пункты;16209;8114;8095;50,1;49,9
  Кожевниковский район - сельское население;22582;10821;11761;47,9;52,1
      с. Кожевниково (рц);7947;3701;4246;46,6;53,4
      прочие сельские населенные пункты;14635;7120;7515;48,7;51,3
  Колпашевский район - сельское население;19723;9442;10281;47,9;52,1
      с. Тогур;8418;3898;4520;46,3;53,7
      прочие сельские населенные пункты;11305;5544;5761;49;51
  Кривошеинский район - сельское население;15848;7557;8291;47,7;52,3
      с. Кривошеино (рц);5993;2801;3192;46,7;53,3
      с. Красный Яр;3119;1465;1654;47;53
      прочие сельские населенные пункты;6736;3291;3445;48,9;51,1
  Молчановский район - сельское население;15591;7431;8160;47,7;52,3
      с. Молчаново (рц);6091;2848;3243;46,8;53,2
      с. Могочино;3182;1489;1693;46,8;53,2
      прочие сельские населенные пункты;6318;3094;3224;49;51
  Парабельский район - сельское население;13533;6551;6982;48,4;51,6
      с. Парабель (рц);6209;2958;3251;47,6;52,4
      прочие сельские населенные пункты;7324;3593;3731;49,1;50,9
  Первомайский район - сельское население;21260;10251;11009;48,2;51,8
      с. Первомайское (рц);5800;2693;3107;46,4;53,6
      прочие сельские населенные пункты;15460;7558;7902;48,9;51,1
  Тегульдетский район - сельское население;8357;4153;4204;49,7;50,3
      с. Тегульдет (рц);4787;2333;2454;48,7;51,3
      прочие сельские населенные пункты;3570;1820;1750;51;49
  Томский район - сельское население;85888;40645;45243;47,3;52,7
      с. Богашево;3762;1762;2000;46,8;53,2
      п. Зональная Станция;5035;2340;2695;46,5;53,5
      д. Лоскутово;3111;1434;1677;46,1;53,9
      с. Моряковский Затон;4731;2173;2558;45,9;54,1
      п. Светлый;7514;3429;4085;45,6;54,4
      с. Тимирязевское;6211;2988;3223;48,1;51,9
      прочие сельские населенные пункты;55524;26519;29005;47,8;52,2
  Чаинский район - сельское население;13888;6768;7120;48,7;51,3
      с. Подгорное (рц);5009;2371;2638;47,3;52,7
      прочие сельские населенные пункты;8879;4397;4482;49,5;50,5
  Шегарский район - сельское население;22551;10779;11772;47,8;52,2
      с. Мельниково (рц);9717;4540;5177;46,7;53,3
      прочие сельские населенные пункты;12834;6239;6595;48,6;51,4
Читинская область;1155346;558689;596657;48,4;51,6
    Городское население;738545;352081;386464;47,7;52,3
    Сельское население;416801;206608;210193;49,6;50,4
  г. Чита с подчиненными непосредственно его администрации  населенными пунктами;317183;149109;168074;47;53
    Городское население - г. Чита;316643;148877;167766;47;53
          административные районы;;;;;
        Железнодорожный ;48611;22812;25799;46,9;53,1
        Ингодинский ;70672;35755;34917;50,6;49,4
        Центральный ;113583;51299;62284;45,2;54,8
        Черновский ;83777;39011;44766;46,6;53,4
    Сельское население;540;232;308;43;57
  г. Балей;14797;6791;8006;45,9;54,1
  г. Борзя с подчиненными его администрации населенными пунктами ;31588;15922;15666;50,4;49,6
    Городское население - г. Борзя;31460;15851;15609;50,4;49,6
    Сельское население;128;71;57;55,5;44,5
  г. Краснокаменск с подчиненными его администрации населенными пунктами - городское население;58128;27513;30615;47,3;52,7
      г. Краснокаменск;55920;26441;29479;47,3;52,7
      пгт Октябрьский;2208;1072;1136;48,6;51,4
  г. Петровск-Забайкальский;21164;9699;11465;45,8;54,2
  пгт Горный;9761;5799;3962;59,4;40,6
  Акшинский район - сельское население;12080;5827;6253;48,2;51,8
      с. Акша (рц);4129;1928;2201;46,7;53,3
      прочие сельские населенные пункты;7951;3899;4052;49;51
  Александрово-Заводский район - сельское население;10844;5356;5488;49,4;50,6
      с. Александровский Завод (рц);2630;1247;1383;47,4;52,6
      прочие сельские населенные пункты;8214;4109;4105;50;50
  Балейский район - сельское население ;9720;4783;4937;49,2;50,8
  Борзинский район;25095;12241;12854;48,8;51,2
    Городское население - пгт Шерловая Гора;14623;6944;7679;47,5;52,5
    Сельское население;10472;5297;5175;50,6;49,4
  Газимуро-Заводский район - сельское население;9578;4686;4892;48,9;51,1
      с. Газимурский Завод (рц);2465;1183;1282;48;52
      прочие сельские населенные пункты;7113;3503;3610;49,2;50,8
  Забайкальский район;20343;10210;10133;50,2;49,8
    Городское население - пгт Забайкальск (рц);10210;4917;5293;48,2;51,8
    Сельское население;10133;5293;4840;52,2;47,8
      п. при ст. Даурия;4242;2379;1863;56,1;43,9
      прочие сельские населенные пункты;5891;2914;2977;49,5;50,5
  Каларский район;9785;4791;4994;49;51
    Городское население - пгт Новая Чара;4693;2297;2396;48,9;51,1
    Сельское население;5092;2494;2598;49;51
      с. Чара (рц);2063;984;1079;47,7;52,3
      прочие сельские населенные пункты;3029;1510;1519;49,9;50,1
 Калганский район;10303;5081;5222;49,3;50,7
    Городское население - пгт Кадая;1220;587;633;48,1;51,9
    Сельское население;9083;4494;4589;49,5;50,5
      с. Калга (рц);3735;1791;1944;48;52
      прочие сельские населенные пункты;5348;2703;2645;50,5;49,5
  Карымский район;37920;18901;19019;49,8;50,2
    Городское население;23969;11366;12603;47,4;52,6
      пгт Карымское (рц);12440;5948;6492;47,8;52,2
      пгт Дарасун;8106;3872;4234;47,8;52,2
      пгт Курорт Дарасун ;3423;1546;1877;45,2;54,8
    Сельское население;13951;7535;6416;54;46
      с. Урульга;3247;1565;1682;48,2;51,8
      прочие сельские населенные пункты;10704;5970;4734;55,8;44,2
  Краснокаменский район - сельское население;9987;4998;4989;50;50
  Красночикойский район - сельское население;21576;10307;11269;47,8;52,2
      с. Красный Чикой (рц);7133;3295;3838;46,2;53,8
      прочие сельские населенные пункты;14443;7012;7431;48,5;51,5
  Кыринский район - сельское население;16016;7929;8087;49,5;50,5
      с. Кыра (рц);4654;2183;2471;46,9;53,1
      прочие сельские населенные пункты;11362;5746;5616;50,6;49,4
  Могочинский район;27225;13141;14084;48,3;51,7
    Городское население;22586;10849;11737;48;52
      г. Могоча (рц);13282;6303;6979;47,5;52,5
      пгт Амазар;2641;1322;1319;50,1;49,9
      пгт Давенда;1022;491;531;48;52
      пгт Итака;451;222;229;49,2;50,8
      пгт Ключевский;1694;803;891;47,4;52,6
      пгт Ксеньевка;3496;1708;1788;48,9;51,1
    Сельское население;4639;2292;2347;49,4;50,6
  Нерчинский район;30694;15420;15274;50,2;49,8
    Городское население;17397;8869;8528;51;49
      г. Нерчинск (рц);15748;8083;7665;51,3;48,7
      пгт Приисковый;1649;786;863;47,7;52,3
    Сельское население;13297;6551;6746;49,3;50,7
  Нерчинско-Заводский район - сельское население;12499;6206;6293;49,7;50,3
      с. Нерчинский Завод (рц);3149;1518;1631;48,2;51,8
      прочие сельские населенные пункты;9350;4688;4662;50,1;49,9
  Оловяннинский район;49426;25186;24240;51;49
    Городское население;23201;11584;11617;49,9;50,1
      пгт Оловянная (рц);8621;4614;4007;53,5;46,5
      пгт Золотореченск;2033;1004;1029;49,4;50,6
      пгт Калангуй;2800;1289;1511;46;54
      пгт Ясногорск;9747;4677;5070;48;52
    Сельское население;26225;13602;12623;51,9;48,1
      п. при ст. Степь;3038;1679;1359;55,3;44,7
      п. при ст. Ясная;7516;4103;3413;54,6;45,4
      прочие сельские населенные пункты;15671;7820;7851;49,9;50,1
  Ононский район - сельское население;13614;6698;6916;49,2;50,8
      с. Нижний Цасучей (рц);3427;1638;1789;47,8;52,2
      прочие сельские населенные пункты;10187;5060;5127;49,7;50,3
  Петровск-Забайкальский район;21110;10226;10884;48,4;51,6
    Городское население;10529;5021;5508;47,7;52,3
      пгт Баляга;3720;1759;1961;47,3;52,7
      пгт Новопавловка;4288;2063;2225;48,1;51,9
      пгт Тарбагатай;2521;1199;1322;47,6;52,4
    Сельское население;10581;5205;5376;49,2;50,8
  Приаргунский район;26959;13398;13561;49,7;50,3
    Городское население;10888;5404;5484;49,6;50,4
      пгт Приаргунск (рц);8260;4162;4098;50,4;49,6
      пгт Кличка;2628;1242;1386;47,3;52,7
    Сельское население;16071;7994;8077;49,7;50,3
  Сретенский район;27524;13391;14133;48,7;51,3
    Городское население;18346;8887;9459;48,4;51,6
      г. Сретенск (рц);8192;3825;4367;46,7;53,3
      пгт Кокуй;8119;4040;4079;49,8;50,2
      пгт Усть-Карск;2035;1022;1013;50,2;49,8
    Сельское население;9178;4504;4674;49,1;50,9
  Тунгиро-Олекминский район - сельское население;1643;833;810;50,7;49,3
      с. Тупик (рц);1041;496;545;47,6;52,4
      прочие сельские населенные пункты;602;337;265;56;44
  Тунгокоченский район;14207;6913;7294;48,7;51,3
    Городское население - пгт Вершино-Дарасунский;6743;3241;3502;48,1;51,9
    Сельское население;7464;3672;3792;49,2;50,8
      с. Верх-Усугли (рц);2690;1276;1414;47,4;52,6
      прочие сельские населенные пункты;4774;2396;2378;50,2;49,8
  Улетовский район;21337;10224;11113;47,9;52,1
    Городское население - пгт Дровяная;3230;1562;1668;48,4;51,6
    Сельское население;18107;8662;9445;47,8;52,2
      с. Улеты (рц);6350;2987;3363;47;53
      прочие сельские населенные пункты;11757;5675;6082;48,3;51,7
  Хилокский район;33434;16115;17319;48,2;51,8
    Городское население;15607;7375;8232;47,3;52,7
      г. Хилок (рц);11152;5212;5940;46,7;53,3
      пгт Могзон;4455;2163;2292;48,6;51,4
    Сельское население;17827;8740;9087;49;51
      с. Бада;5382;2698;2684;50,1;49,9
      прочие сельские населенные пункты;12445;6042;6403;48,5;51,5
  Чернышевский район;38146;18190;19956;47,7;52,3
    Городское население;24776;11683;13093;47,2;52,8
      пгт Чернышевск (рц);13031;6100;6931;46,8;53,2
      пгт Аксеново-Зиловское;4283;2046;2237;47,8;52,2
      пгт Букачача;3525;1646;1879;46,7;53,3
      пгт Жирекен;3937;1891;2046;48;52
    Сельское население;13370;6507;6863;48,7;51,3
  Читинский район;62221;30514;31707;49;51
    Городское население;20115;9712;10403;48,3;51,7
      пгт Атамановка;9463;4718;4745;49,9;50,1
      пгт Новокручининский;9817;4607;5210;46,9;53,1
      пгт Яблоново;835;387;448;46,3;53,7
    Сельское население;42106;20802;21304;49,4;50,6
      с. Домна;6874;3495;3379;50,8;49,2
      с. Маккавеево;4100;1917;2183;46,8;53,2
      с. Смоленка;3066;1575;1491;51,4;48,6
      прочие сельские населенные пункты;28066;13815;14251;49,2;50,8
  Шелопугинский район;9773;4758;5015;48,7;51,3
    Городское население - пгт Вершино-Шахтаминский;1707;804;903;47,1;52,9
    Сельское население;8066;3954;4112;49;51
      с. Шелопугино (рц);3571;1714;1857;48;52
      прочие сельские населенные пункты;4495;2240;2255;49,8;50,2
  Шилкинский район;47453;22406;25047;47,2;52,8
    Городское население;31242;14431;16811;46,2;53,8
      г. Шилка (рц);14748;6809;7939;46,2;53,8
      пгт Арбагар;744;353;391;47,4;52,6
      пгт Первомайский;13098;6026;7072;46;54
      пгт Холбон;2652;1243;1409;46,9;53,1
    Сельское население;16211;7975;8236;49,2;50,8
Агинский Бурятский автономный округ;72213;35127;37086;48,6;51,4
    Городское население;25510;12018;13492;47,1;52,9
    Сельское население;46703;23109;23594;49,5;50,5
  Агинский район;29511;14304;15207;48,5;51,5
    Городское население;16924;8041;8883;47,5;52,5
      пгт Агинское (рц);11717;5515;6202;47,1;52,9
      пгт Новоорловск;2859;1360;1499;47,6;52,4
      пгт Орловский;2348;1166;1182;49,7;50,3
    Сельское население;12587;6263;6324;49,8;50,2
  Дульдургинский район - сельское население;15316;7416;7900;48,4;51,6
      с. Дульдурга (рц);6382;3058;3324;47,9;52,1
      прочие сельские населенные пункты;8934;4358;4576;48,8;51,2
  Могойтуйский район ;27386;13407;13979;49;51
    Городское население - пгт Могойтуй (рц);8586;3977;4609;46,3;53,7
    Сельское население;18800;9430;9370;50,2;49,8
Дальневосточный федеральный округ;6692865;3254984;3437881;48,6;51,4
    Городское население;5081575;2440462;2641113;48;52
    Сельское население;1611290;814522;796768;50,6;49,4
Республика Саха (Якутия);949280;464217;485063;48,9;51,1
    Городское население;609999;296155;313844;48,6;51,4
    Сельское население;339281;168062;171219;49,5;50,5
  г. Якутск с подчиненными его администрации населенными пунктами;246279;115967;130312;47,1;52,9
    Городское население;238356;112057;126299;47;53
      г. Якутск;210642;97632;113010;46,3;53,7
      пгт Жатай;8405;3959;4446;47,1;52,9
      пгт Кангалассы;1779;861;918;48,4;51,6
      пгт Маган;1743;820;923;47;53
      пгт Марха;12041;6368;5673;52,9;47,1
      пгт Табага;3746;2417;1329;64,5;35,5
    Сельское население;7923;3910;4013;49,3;50,7
      с. Хатассы;3800;1842;1958;48,5;51,5
      прочие сельские населенные пункты ;4123;2068;2055;50,2;49,8
  г. Мирный;39981;19749;20232;49,4;50,6
  г. Нерюнгри с подчиненными его администрации населенными пунктами;89796;43253;46543;48,2;51,8
    Городское население;88074;42422;45652;48,2;51,8
      г. Нерюнгри;66269;31713;34556;47,9;52,1
      пгт Беркакит;4925;2402;2523;48,8;51,2
      пгт Золотинка;566;269;297;47,5;52,5
      пгт Нагорный;152;84;68;55,3;44,7
      пгт Серебряный Бор;4447;2246;2201;50,5;49,5
      пгт Хани;933;474;459;50,8;49,2
      пгт Чульман;10782;5234;5548;48,5;51,5
    Сельское население;1722;831;891;48,3;51,7
  г. Нюрба;10309;4856;5453;47,1;52,9
  г. Покровск;10092;4737;5355;46,9;53,1
  Абыйский улус ;4750;2320;2430;48,8;51,2
    Городское население - пгт Белая Гора (рц);2463;1187;1276;48,2;51,8
    Сельское население;2287;1133;1154;49,5;50,5
  Алданский улус ;49346;24753;24593;50,2;49,8
    Городское население;45230;22662;22568;50,1;49,9
      г. Алдан (рц);24715;12705;12010;51,4;48,6
      г. Томмот;9032;4423;4609;49;51
      пгт Безымянный;111;57;54;51,4;48,6
      пгт Большой Нимныр;479;235;244;49,1;50,9
      пгт Лебединый;1254;605;649;48,2;51,8
      пгт Ленинский;2112;997;1115;47,2;52,8
      пгт Нижний Куранах;7027;3414;3613;48,6;51,4
      пгт Ыллымах;500;226;274;45,2;54,8
    Сельское население;4116;2091;2025;50,8;49,2
  Аллаиховский улус ;3421;1684;1737;49,2;50,8
    Городское население - пгт Чокурдах (рц);2591;1259;1332;48,6;51,4
    Сельское население;830;425;405;51,2;48,8
  Амгинский улус - сельское население;17251;8401;8850;48,7;51,3
      с. Амга (рц);6359;2977;3382;46,8;53,2
      прочие сельские населенные пункты  ;10892;5424;5468;49,8;50,2
  Анабарский национальный улус - сельское население  ;4024;2020;2004;50,2;49,8
      с. Саскылах (рц);1985;970;1015;48,9;51,1
      прочие сельские населенные пункты  ;2039;1050;989;51,5;48,5
  Булунский улус ;9775;5082;4693;52;48
    Городское население - пгт Тикси (рц);5873;3112;2761;53;47
    Сельское население;3902;1970;1932;50,5;49,5
  Верхневилюйский улус - сельское население;21383;10519;10864;49,2;50,8
      с. Верхневилюйск (рц);6555;3109;3446;47,4;52,6
      прочие сельские населенные пункты  ;14828;7410;7418;50;50
  Верхнеколымский улус ;5653;2835;2818;50,2;49,8
    Городское население - пгт Зырянка (рц);3749;1871;1878;49,9;50,1
    Сельское население;1904;964;940;50,6;49,4
  Верхоянский улус ;13666;6826;6840;49,9;50,1
    Городское население;6366;3036;3330;47,7;52,3
      г. Верхоянск;1434;648;786;45,2;54,8
      пгт Батагай (рц);4589;2215;2374;48,3;51,7
      пгт Эсэ-Хайя;343;173;170;50,4;49,6
    Сельское население;7300;3790;3510;51,9;48,1
  Вилюйский улус ;25696;12402;13294;48,3;51,7
    Городское население;13385;6287;7098;47;53
      г. Вилюйск (рц);9776;4435;5341;45,4;54,6
      пгт Кысыл-Сыр;3609;1852;1757;51,3;48,7
    Сельское население;12311;6115;6196;49,7;50,3
  Горный улус - сельское население;11422;5585;5837;48,9;51,1
      с. Бердигестях (рц);6149;2994;3155;48,7;51,3
      прочие сельские населенные пункты  ;5273;2591;2682;49,1;50,9
  Жиганский улус - сельское население;4312;2083;2229;48,3;51,7
      с. Жиганск (рц);3346;1583;1763;47,3;52,7
      прочие сельские населенные пункты  ;966;500;466;51,8;48,2
  Кобяйский улус ;14178;6988;7190;49,3;50,7
    Городское население - пгт Сангар (рц);4789;2317;2472;48,4;51,6
    Сельское население;9389;4671;4718;49,7;50,3
  Ленский улус ;38669;19095;19574;49,4;50,6
    Городское население;33241;16392;16849;49,3;50,7
      г. Ленск (рц);24558;12089;12469;49,2;50,8
      пгт Витим;3973;1992;1981;50,1;49,9
      пгт Пеледуй;4710;2311;2399;49,1;50,9
    Сельское население;5428;2703;2725;49,8;50,2
  Мегино-Кангаласский улус ;32288;15745;16543;48,8;51,2
    Городское население -  пгт Нижний Бестях;3327;1667;1660;50,1;49,9
    Сельское население;28961;14078;14883;48,6;51,4
      с. Майя (рц);7023;3264;3759;46,5;53,5
      прочие сельские населенные пункты  ;21938;10814;11124;49,3;50,7
  Мирнинский улус ;46032;23475;22557;51;49
    Городское население;42092;21428;20664;50,9;49,1
      г. Удачный;15698;7858;7840;50,1;49,9
      пгт Айхал;15782;8277;7505;52,4;47,6
      пгт Алмазный;1756;841;915;47,9;52,1
      пгт Светлый;3546;1792;1754;50,5;49,5
      пгт Чернышевский;5310;2660;2650;50,1;49,9
    Сельское население;3940;2047;1893;52;48
  Момский национальный улус - сельское население ;4699;2303;2396;49;51
      с. Хонуу (рц);2494;1177;1317;47,2;52,8
      прочие сельские населенные пункты  ;2205;1126;1079;51,1;48,9
  Намский улус - сельское население;21454;10323;11131;48,1;51,9
      с. Намцы (рц);8249;3834;4415;46,5;53,5
      прочие сельские населенные пункты  ;13205;6489;6716;49,1;50,9
  Нижнеколымский улус ;5932;2944;2988;49,6;50,4
    Городское население - пгт Черский (рц);3832;1885;1947;49,2;50,8
    Сельское население;2100;1059;1041;50,4;49,6
  Нюрбинский улус - сельское население;15549;7795;7754;50,1;49,9
  Оймяконский улус ;14670;7835;6835;53,4;46,6
    Городское население;10869;5869;5000;54;46
      пгт Усть-Нера (рц);9457;4907;4550;51,9;48,1
      пгт Артык;633;329;304;52;48
      пгт Нелькан;140;129;11;92,1;7,9
      пгт Предпорожный;247;195;52;78,9;21,1
      пгт Эльгинский;392;309;83;78,8;21,2
    Сельское население;3801;1966;1835;51,7;48,3
  Олекминский улус ;27563;13709;13854;49,7;50,3
    Городское население;10774;5243;5531;48,7;51,3
      г. Олекминск (рц);10003;4838;5165;48,4;51,6
      пгт Заречный;674;343;331;50,9;49,1
      пгт Торго;97;62;35;63,9;36,1
    Сельское население;16789;8466;8323;50,4;49,6
  Оленекский национальный улус - сельское население;4091;2054;2037;50,2;49,8
      с. Оленек (рц);2228;1078;1150;48,4;51,6
      прочие сельские населенные пункты   ;1863;976;887;52,4;47,6
  Среднеколымский улус ;8353;4094;4259;49;51
    Городское население - г. Среднеколымск (рц);3587;1717;1870;47,9;52,1
    Сельское население;4766;2377;2389;49,9;50,1
  Сунтарский улус - сельское население;25485;12448;13037;48,8;51,2
      с. Сунтар (рц);8930;4183;4747;46,8;53,2
      прочие сельские населенные пункты;16555;8265;8290;49,9;50,1
  Таттинский улус - сельское население;16601;8146;8455;49,1;50,9
      с. Ытык-Кюель (рц);6267;2987;3280;47,7;52,3
      прочие сельские населенные пункты  ;10334;5159;5175;49,9;50,1
  Томпонский улус ;15275;7576;7699;49,6;50,4
    Городское население;9150;4468;4682;48,8;51,2
      пгт Хандыга (рц);7025;3392;3633;48,3;51,7
      пгт Джебарики-Хая;2125;1076;1049;50,6;49,4
    Сельское население;6125;3108;3017;50,7;49,3
