region;total_population_2002;male_population;female_population;male_percent;female_percent
Регион;Популяция_2002;Мужчины;Женщины;Мужчины_процент;Женщины_процент
    Городское население;37720;17996;19724;47,7;52,3
      г. Семилуки (рц);25559;12511;13048;48,9;51,1
      пгт Латная;7333;3314;4019;45,2;54,8
      пгт Стрелица;4828;2171;2657;45;55
    Сельское население;30184;13766;16418;45,6;54,4
      с. Девица;4451;2028;2423;45,6;54,4
      с. Землянск;3155;1439;1716;45,6;54,4
      прочие сельские населенные пункты;22578;10299;12279;45,6;54,4
  Таловский район ;47221;21574;25647;45,7;54,3
    Городское население - пгт Таловая (рц);13554;6247;7307;46,1;53,9
    Сельское население;33667;15327;18340;45,5;54,5
      п. Абрамовка;3444;1570;1874;45,6;54,4
      с. Верхняя Тишанка;3653;1597;2056;43,7;56,3
      с. Новая Чигла;3020;1278;1742;42,3;57,7
