region;total_population;male_population;female_population;male_percent;female_percent
Регион;Популяция;Мужчины;Женщины;Мужчины_процент;Женщины_процент
прочие сельские населенные пункты;7433;3440;3993;46,3;53,7
Колышлейский район;26187;11835;14352;45,2;54,8
Городское население - пгт Колышлей (рц);8312;3704;4608;44,6;55,4
Сельское население;17875;8131;9744;45,5;54,5
Кузнецкий район;38056;17825;20231;46,8;53,2
Городское население;6798;3150;3648;46,3;53,7
пгт Верхозим;1785;823;962;46,1;53,9
пгт Евлашево;5013;2327;2686;46,4;53,6
Сельское население;31258;14675;16583;46,9;53,1
село Поселки;3079;1479;1600;48;52
прочие сельские населенные пункты;28179;13196;14983;46,8;53,2
Лопатинский район - сельское население;14942;6955;7987;46,5;53,5
село Лопатино (рц);4392;2015;2377;45,9;54,1
прочие сельские населенные пункты;10550;4940;5610;46,8;53,2
Лунинский район;19944;9032;10912;45,3;54,7
Городское население - пгт Лунино (рц);7905;3575;4330;45,2;54,8
Сельское население;12039;5457;6582;45,3;54,7
Малосердобинский район - сельское население;9824;4566;5258;46,5;53,5
село Малая Сердоба (рц);4368;2030;2338;46,5;53,5
прочие сельские населенные пункты;5456;2536;2920;46,5;53,5
Мокшанский район;28033;13005;15028;46,4;53,6
Городское население - пгт Мокшан (рц);11592;5435;6157;46,9;53,1
Сельское население;16441;7570;8871;46;54
Наровчатский район - сельское население;12069;5578;6491;46,2;53,8
село Наровчат (рц);4199;1942;2257;46,2;53,8
прочие сельские населенные пункты;7870;3636;4234;46,2;53,8
Неверкинский район - сельское население;16329;7734;8595;47,4;52,6
село Неверкино (рц);4376;2050;2326;46,8;53,2
прочие сельские населенные пункты;11953;5684;6269;47,6;52,4
Нижнеломовский район;41974;18988;22986;45,2;54,8
Городское население - г. Нижний Ломов (рц);22678;10075;12603;44,4;55,6
Сельское население;19296;8913;10383;46,2;53,8
село Верхний Ломов;4054;1849;2205;45,6;54,4
прочие сельские населенные пункты;15242;7064;8178;46,3;53,7
Никольский район;34271;15457;18814;45,1;54,9
Городское население;24596;10996;13600;44,7;55,3
г. Никольск (рц);22471;10021;12450;44,6;55,4
пгт Сура;2125;975;1150;45,9;54,1
Сельское население;9675;4461;5214;46,1;53,9
Пачелмский район;16310;7466;8844;45,8;54,2
Городское население - пгт Пачелма (рц);8053;3601;4452;44,7;55,3
Сельское население;8257;3865;4392;46,8;53,2
Пензенский район;51308;23979;27329;46,7;53,3
Городское население - пгт Золотаревка;2630;1129;1501;42,9;57,1
Сельское население;48678;22850;25828;46,9;53,1
село Кондоль (рц);3324;1516;1808;45,6;54,4
село Богословка;5286;2417;2869;45,7;54,3
село Засечное;4999;2291;2708;45,8;54,2
село Старая Каменка;3156;1462;1694;46,3;53,7
прочие сельские населенные пункты;31913;15164;16749;47,5;52,5
Сердобский район;54520;24579;29941;45,1;54,9
Городское население - г. Сердобск (рц);35393;15776;19617;44,6;55,4
Сельское население;19127;8803;10324;46;54
село Пригородное;5279;2387;2892;45,2;54,8
прочие сельские населенные пункты;13848;6416;7432;46,3;53,7
Сосновоборский район;17242;8065;9177;46,8;53,2
Городское население - пгт Сосновоборск (рц);6546;3027;3519;46,2;53,8
Сельское население;10696;5038;5658;47,1;52,9
село Индерка;4003;1894;2109;47,3;52,7
прочие сельские населенные пункты;6693;3144;3549;47;53
Спасский район;13008;6032;6976;46,4;53,6
Городское население - г. Спасск (рц);7442;3455;3987;46,4;53,6
Сельское население;5566;2577;2989;46,3;53,7
Тамалинский район;16503;7645;8858;46,3;53,7
Городское население - пгт Тамала (рц);7476;3339;4137;44,7;55,3
Сельское население;9027;4306;4721;47,7;52,3
Шемышейский район;17661;8314;9347;47,1;52,9
Городское население - пгт Шемышейка (рц);6512;2999;3513;46,1;53,9
Сельское население;11149;5315;5834;47,7;52,3
Самарская область;3215532;1471711;1743821;45,8;54,2
Городское население;2579589;1170296;1409293;45,4;54,6
Сельское население;635943;301415;334528;47,4;52,6
г. Самара с подчиненными его администрации населенными пунктами;1164814;521209;643605;44,7;55,3
Городское население - г. Самара;1164685;521153;643532;44,7;55,3
  внутригородские районы;;;;;
  Железнодорожный;103175;44936;58239;43,6;56,4
  Кировский;228908;101848;127060;44,5;55,5
  Красноглинский;85566;40386;45180;47,2;52,8
  Куйбышевский;86280;41302;44978;47,9;52,1
  Ленинский;65485;28959;36526;44,2;55,8
  Октябрьский;114223;50316;63907;44,1;55,9
  Промышленный;273126;121487;151639;44,5;55,5
  Самарский;30519;13566;16953;44,5;55,5
  Советский;177403;78353;99050;44,2;55,8
Сельское население;129;56;73;43,4;56,6
г. Жигулевск с подчиненными его администрации населенными пунктами;60303;27508;32795;45,6;54,4
Городское население - г. Жигулевск;55565;25204;30361;45,4;54,6
Сельское население;4738;2304;2434;48,6;51,4
г. Кинель с подчиненными его администрации населенными пунктами - городское население;54890;25507;29383;46,5;53,5
г. Кинель;34491;15861;18630;46;54
пгт Алексеевка;10411;4858;5553;46,7;53,3
пгт Усть-Кинельский;9988;4788;5200;47,9;52,1
г. Новокуйбышевск с подчиненными его администрации населенными пунктами;110729;50024;60705;45,2;54,8
Городское население - г. Новокуйбышевск;108438;48980;59458;45,2;54,8
Сельское население;2291;1044;1247;45,6;54,4
г. Октябрьск;27244;12142;15102;44,6;55,4
г. Отрадный;48356;22056;26300;45,6;54,4
г. Похвистнево с подчиненными его администрации населенными пунктами;29261;13185;16076;45,1;54,9
Городское население - г. Похвистнево;28169;12683;15486;45;55
Сельское население;1092;502;590;46;54
г. Сызрань с подчиненными его администрации населенными пунктами;179558;80744;98814;45;55
Городское население - г. Сызрань;178750;80370;98380;45;55
Сельское население;808;374;434;46,3;53,7
г. Тольятти;719632;331696;387936;46,1;53,9
  внутригородские районы;;;;;
  Автозаводский;442007;205269;236738;46,4;53,6
  Комсомольский;119956;55351;64605;46,1;53,9
  Центральный;157669;71076;86593;45,1;54,9
г. Чапаевск с подчиненными его администрации населенными пунктами;72705;32228;40477;44,3;55,7
Городское население - г. Чапаевск;72692;32220;40472;44,3;55,7
Сельское население;13;8;5;61,5;38,5
Алексеевский район - сельское население;12274;5704;6570;46,5;53,5
село Алексеевка (рц);4513;2063;2450;45,7;54,3
прочие сельские населенные пункты;7761;3641;4120;46,9;53,1
Безенчукский район;42095;19600;22495;46,6;53,4
Городское население;26053;11947;14106;45,9;54,1
пгт Безенчук (рц);22952;10471;12481;45,6;54,4
пгт Осинки;3101;1476;1625;47,6;52,4
Сельское население;16042;7653;8389;47,7;52,3
Богатовский район - сельское население;14142;6555;7587;46,4;53,6
село Богатое (рц);5922;2715;3207;45,8;54,2
прочие сельские населенные пункты;8220;3840;4380;46,7;53,3
Большеглушицкий район - сельское население;20477;9762;10715;47,7;52,3
село Большая Глушица (рц);9667;4517;5150;46,7;53,3
прочие сельские населенные пункты;10810;5245;5565;48,5;51,5
Большечерниговский район - сельское население;19153;9031;10122;47,2;52,8
село Большая Черниговка (рц);6356;2939;3417;46,2;53,8
прочие сельские населенные пункты;12797;6092;6705;47,6;52,4
Борский район - сельское население;24433;11290;13143;46,2;53,8
село Борское (рц);8953;4065;4888;45,4;54,6
прочие сельские населенные пункты;15480;7225;8255;46,7;53,3
Волжский район;83377;41795;41582;50,1;49,9
Городское население;32451;16469;15982;50,8;49,2
пгт Петра Дубрава;6453;2972;3481;46,1;53,9
пгт Рощинский;11920;6946;4974;58,3;41,7
пгт Смышляевка;6756;3217;3539;47,6;52,4
пгт Стройкерамика;7322;3334;3988;45,5;54,5
Сельское население;50926;25326;25600;49,7;50,3
село Дубовый Умет;3389;1589;1800;46,9;53,1
село Курумоч;6697;3151;3546;47,1;52,9
село Рождествено;6212;2509;3703;40,4;59,6
село Спиридоновка;4896;4162;734;85;15
прочие сельские населенные пункты;29732;13915;15817;46,8;53,2
Елховский район - сельское население;10046;4775;5271;47,5;52,5
село Елховка (рц);3268;1562;1706;47,8;52,2
прочие сельские населенные пункты;6778;3213;3565;47,4;52,6
Исаклинский район - сельское население;13395;6359;7036;47,5;52,5
село Исаклы (рц);4334;1971;2363;45,5;54,5
прочие сельские населенные пункты;9061;4388;4673;48,4;51,6
Камышлинский район - сельское население;11420;5443;5977;47,7;52,3
село Камышла (рц);4889;2356;2533;48,2;51,8
прочие сельские населенные пункты;6531;3087;3444;47,3;52,7
Кинельский район - сельское население;33258;15967;17291;48;52
село Георгиевка;3980;1850;2130;46,5;53,5
прочие сельские населенные пункты;29278;14117;15161;48,2;51,8
Кинель-Черкасский район - сельское население;47362;21952;25410;46,3;53,7
село Кинель-Черкассы (рц);17252;7865;9387;45,6;54,4
село Кротовка;5668;2646;3022;46,7;53,3
село  Тимашево;5651;2611;3040;46,2;53,8
прочие сельские населенные пункты;18791;8830;9961;47;53
Клявлинский район - сельское население;15988;7647;8341;47,8;52,2
железнодорожная станция Клявлино (рц);6967;3260;3707;46,8;53,2
прочие сельские населенные пункты;9021;4387;4634;48,6;51,4
Кошкинский район - сельское население;24194;11528;12666;47,6;52,4
село Кошки (рц);7969;3770;4199;47,3;52,7
прочие сельские населенные пункты;16225;7758;8467;47,8;52,2
Красноармейский район - сельское население;18050;8489;9561;47;53
село Красноармейское (рц);5344;2499;2845;46,8;53,2
прочие сельские населенные пункты;12706;5990;6716;47,1;52,9
Красноярский район;54497;26305;28192;48,3;51,7
Городское население;24061;12123;11938;50,4;49,6
пгт Волжский;6968;4196;2772;60,2;39,8
пгт Мирный;7343;3489;3854;47,5;52,5
пгт Новосемейкино;9750;4438;5312;45,5;54,5
Сельское население;30436;14182;16254;46,6;53,4
село Красный Яр (рц);7958;3657;4301;46;54
село Новый Буян;3265;1500;1765;45,9;54,1
прочие сельские населенные пункты;19213;9025;10188;47;53
Нефтегорский район;34478;16081;18397;46,6;53,4
Городское население - г. Нефтегорск (рц);19254;8833;10421;45,9;54,1
Сельское население;15224;7248;7976;47,6;52,4
село Утевка;6091;2890;3201;47,4;52,6
прочие сельские населенные пункты;9133;4358;4775;47,7;52,3
Пестравский район - сельское население;17779;8609;9170;48,4;51,6
село Пестравка (рц);6573;3110;3463;47,3;52,7
прочие сельские населенные пункты;11206;5499;5707;49,1;50,9
Похвистневский район - сельское население;29027;13797;15230;47,5;52,5
село Подбельск;3164;1463;1701;46,2;53,8
прочие сельские населенные пункты;25863;12334;13529;47,7;52,3
Приволжский район - сельское население;24005;11316;12689;47,1;52,9
село Приволжье (рц);7480;3452;4028;46,1;53,9
село Обшаровка;5667;2626;3041;46,3;53,7
прочие сельские населенные пункты;10858;5238;5620;48,2;51,8
Сергиевский район;47548;22387;25161;47,1;52,9
Городское население - пгт Суходол;13413;6304;7109;47;53
Сельское население;34135;16083;18052;47,1;52,9
село Сергиевск (рц);8661;3966;4695;45,8;54,2
посёлок Серноводск;3611;1673;1938;46,3;53,7
посёлок Сургут;4864;2299;2565;47,3;52,7
прочие сельские населенные пункты;16999;8145;8854;47,9;52,1
Ставропольский район - сельское население;54181;25874;28307;47,8;52,2
село Подстепки;4931;2355;2576;47,8;52,2
село Тимофеевка;3893;1901;1992;48,8;51,2
село Хрящевка;3191;1507;1684;47,2;52,8
село Ягодное;3993;1902;2091;47,6;52,4
прочие сельские населенные пункты;38173;18209;19964;47,7;52,3
Сызранский район;25947;11887;14060;45,8;54,2
Городское население;5936;2609;3327;44;56
пгт Балашейка;2930;1306;1624;44,6;55,4
пгт Междуреченск;3006;1303;1703;43,3;56,7
Сельское население;20011;9278;10733;46,4;53,6
посёлок Варламово;3372;1517;1855;45;55
прочие сельские населенные пункты;16639;7761;8878;46,6;53,4
Хворостянский район - сельское население;16302;7855;8447;48,2;51,8
село Хворостянка (рц);5161;2429;2732;47,1;52,9
прочие сельские населенные пункты;11141;5426;5715;48,7;51,3
Челно-Вершинский район - сельское население;16954;7907;9047;46,6;53,4
село Челно-Вершины (рц);5747;2558;3189;44,5;55,5
прочие сельские населенные пункты;11207;5349;5858;47,7;52,3
Шенталинский район - сельское население;16656;7862;8794;47,2;52,8
железнодорожная станция Шентала (рц);6613;3095;3518;46,8;53,2
прочие сельские населенные пункты;10043;4767;5276;47,5;52,5
Шигонский район - сельское население;21002;9635;11367;45,9;54,1
село Шигоны (рц);4966;2229;2737;44,9;55,1
прочие сельские населенные пункты;16036;7406;8630;46,2;53,8
Саратовская область;2521892;1152458;1369434;45,7;54,3
Городское население;1879565;847968;1031597;45,1;54,9
Сельское население;642327;304490;337837;47,4;52,6
г. Саратов;837900;373490;464410;44,6;55,4
  внутригородские районы;;;;;
  Волжский;77685;34324;43361;44,2;55,8
  Заводской;189783;83739;106044;44,1;55,9
  Кировский;128825;58436;70389;45,4;54,6
  Ленинский;269994;121374;148620;45;55
  Октябрьский;122027;54368;67659;44,6;55,4
  Фрунзенский;49586;21249;28337;42,9;57,1
г. Аткарск;25624;11674;13950;45,6;54,4
г. Балаково с подчиненными его администрации населенными пунктами;200981;90016;110965;44,8;55,2
Городское население - г. Балаково;199690;89400;110290;44,8;55,2
Сельское население;1291;616;675;47,7;52,3
г. Балашов;82227;37242;44985;45,3;54,7
г. Вольск;66508;30932;35576;46,5;53,5
г. Красноармейск;24364;10780;13584;44,2;55,8
г. Маркс;31531;14208;17323;45,1;54,9
г. Петровск;31160;13825;17335;44,4;55,6
г. Пугачев;41707;19919;21788;47,8;52,2
г. Ртищево;41289;17990;23299;43,6;56,4
г. Хвалынск с подчиненными его администрации населенными пунктами;13199;5970;7229;45,2;54,8
Городское население - г. Хвалынск;13094;5928;7166;45,3;54,7
Сельское население;105;42;63;40;60
г. Шиханы;6067;2606;3461;43;57
г. Энгельс с подчиненными его администрации населенными пунктами;240187;109878;130309;45,7;54,3
Городское население;236783;108272;128511;45,7;54,3
г. Энгельс;202419;92559;109860;45,7;54,3
пгт Приволжский;34364;15713;18651;45,7;54,3
Сельское население;3404;1606;1798;47,2;52,8
пгт Светлый;12493;7412;5081;59,3;40,7
поселок Михайловский - сельское население;2328;1155;1173;49,6;50,4
Александрово-Гайский район - сельское население;16855;7932;8923;47,1;52,9
село Александров Гай (рц);9728;4478;5250;46;54
прочие сельские населенные пункты;7127;3454;3673;48,5;51,5
Аркадакский район;26236;12058;14178;46;54
Городское население - г. Аркадак (рц);12845;5828;7017;45,4;54,6
Сельское население;13391;6230;7161;46,5;53,5
Аткарский район - сельское население;16550;7905;8645;47,8;52,2
Базарно-Карабулакский район;31841;14634;17207;46;54
Городское население;12006;5444;6562;45,3;54,7
пгт Базарный Карабулак (рц);9846;4461;5385;45,3;54,7
пгт Свободный;2160;983;1177;45,5;54,5
Сельское население;19835;9190;10645;46,3;53,7
Балаковский район - сельское население;19617;9358;10259;47,7;52,3
Балашовский район;31125;14657;16468;47,1;52,9
Городское население - пгт Пинеровка;3442;1555;1887;45,2;54,8
Сельское население;27683;13102;14581;47,3;52,7
село Репное;3029;1468;1561;48,5;51,5
прочие сельские населенные пункты;24654;11634;13020;47,2;52,8
Балтайский район - сельское население;12282;5705;6577;46,5;53,5
село Балтай (рц);3873;1775;2098;45,8;54,2
прочие сельские населенные пункты;8409;3930;4479;46,7;53,3
Вольский район;27457;12868;14589;46,9;53,1
Городское население;9900;4642;5258;46,9;53,1
пгт Сенной;6675;3158;3517;47,3;52,7
пгт Черкасское;3225;1484;1741;46;54
Сельское население;17557;8226;9331;46,9;53,1
Воскресенский район - сельское население;12098;5535;6563;45,8;54,2
село Воскресенское (рц);3309;1504;1805;45,5;54,5
прочие сельские населенные пункты;8789;4031;4758;45,9;54,1
Дергачевский район;21104;9719;11385;46,1;53,9
Городское население - пгт Дергачи (рц);8276;3671;4605;44,4;55,6
Сельское население;12828;6048;6780;47,1;52,9
Духовницкий район;12951;5981;6970;46,2;53,8
Городское население - пгт Духовницкое (рц);5338;2391;2947;44,8;55,2
Сельское население;7613;3590;4023;47,2;52,8
Екатериновский район;19798;9292;10506;46,9;53,1
Городское население - пгт Екатериновка (рц);6364;2893;3471;45,5;54,5
Сельское население;13434;6399;7035;47,6;52,4
Ершовский район;41609;19241;22368;46,2;53,8
Городское население - г. Ершов (рц);21448;9787;11661;45,6;54,4
Сельское население;20161;9454;10707;46,9;53,1
Ивантеевский район - сельское население;15186;7203;7983;47,4;52,6
село Ивантеевка (рц);6100;2851;3249;46,7;53,3
прочие сельские населенные пункты;9086;4352;4734;47,9;52,1
Калининский район;33302;15240;18062;45,8;54,2
Городское население - г. Калининск (рц);16441;7368;9073;44,8;55,2
Сельское население;16861;7872;8989;46,7;53,3
Красноармейский район;24375;13004;11371;53,3;46,7
