region;total_population_2020;male_population_0;male_percent_0;total_population_2010;male_population_1;male_percent_1;total_population_2002;male_population_2;male_percent_2
Регион;Популяция_2020;Мужчины_0;Мужчины_процент_0;Популяция_2010;Мужчины_1;Мужчины_процент_1;Популяция_2002;Мужчины_2;Мужчины_процент_2
село никольское;;;;5517.0;2588.0;46.9;5383.0;2523.0;46.9
алексеевское поселение;457.0;213.0;46.6;;;;;;
трудовское поселение;741.0;365.0;49.3;;;;;;
округ город воронеж воронеж;1057681.0;480111.0;45.4;975373.0;436802.0;44.8;928410.0;419137.0;45.1
петинское поселение;3832.0;1841.0;48.0;;;;;;
ясенковское поселение;2107.0;948.0;45.0;;;;;;
новая чигла;;;;;;;3020.0;1278.0;42.3
скрипнянское поселение;338.0;156.0;46.2;;;;;;
латная;7285.0;3322.0;45.6;7528.0;3439.0;45.7;7333.0;3314.0;45.2
красноселовское поселение;1234.0;572.0;46.4;;;;;;
городское поселение город лиски;54465.0;24971.0;45.8;55864.0;25211.0;45.1;56229.0;25603.0;45.5
добринское поселение;612.0;293.0;47.9;;;;;;
прогрессовское поселение;1194.0;574.0;48.1;;;;;;
посевкинское поселение;337.0;161.0;47.8;;;;;;
таловая рабочий поселок;11136.0;4936.0;44.3;12219.0;5494.0;45.0;13554.0;6247.0;46.1
воронеж;1057681.0;480111.0;45.4;889680.0;397431.0;44.7;928410.0;419137.0;45.1
село лосево;3959.0;1865.0;47.1;4398.0;1977.0;45.0;4539.0;2055.0;45.3
липчанское поселение;1561.0;791.0;50.7;;;;;;
кучеряевское поселение;562.0;265.0;47.2;;;;;;
дракинское поселение село дракино;3080.0;1437.0;46.7;3253.0;1501.0;46.1;3114.0;1436.0;46.1
артюшкинское поселение;460.0;217.0;47.2;;;;;;
лискинский район;98577.0;45789.0;46.4;105704.0;48405.0;45.8;50142.0;23034.0;45.9
большедмитровское поселение;504.0;240.0;47.6;;;;;;
орлово;4354.0;2071.0;47.6;4116.0;1900.0;46.2;4104.0;1888.0;46.0
нижнекарачанское поселение;1941.0;949.0;48.9;;;;;;
каменское городское поселение каменка;8057.0;3668.0;45.5;9192.0;4261.0;46.4;9583.0;4386.0;45.8
карайчевское поселение;859.0;445.0;51.8;;;;;;
грибановский район;28871.0;13676.0;47.4;33073.0;15442.0;46.7;39648.0;18230.0;46.0
давыдовка;5167.0;2390.0;46.3;5633.0;2584.0;45.9;5923.0;2730.0;46.1
бодеевское поселение;1005.0;466.0;46.4;;;;;;
великоархангельское поселение;982.0;480.0;48.9;;;;;;
стрелица;4008.0;1812.0;45.2;3937.0;1757.0;44.6;4828.0;2171.0;45.0
перелешино;;;;3964.0;2772.0;69.9;3848.0;2734.0;71.0
тамбовское поселение;530.0;272.0;51.3;;;;;;
большеверейское поселение;710.0;352.0;49.6;;;;;;
борисоглебск;60687.0;28393.0;46.8;65585.0;29863.0;45.5;69392.0;31568.0;45.5
вознесенское поселение;706.0;323.0;45.8;;;;;;
мосальское поселение;510.0;223.0;43.7;;;;;;
малоприваловское поселение;656.0;321.0;48.9;;;;;;
андреевское поселение;326.0;162.0;49.7;;;;;;
село пески;6625.0;3073.0;46.4;6953.0;3234.0;46.5;7331.0;3387.0;46.2
ольховатское городское поселение;12569.0;5812.0;46.2;;;;;;
новолиманское поселение;1091.0;512.0;46.9;;;;;;
старочигольское поселение;617.0;297.0;48.1;;;;;;
среднеикорецкое поселение;5516.0;2574.0;46.7;;;;;;
воронцовка;4970.0;2319.0;46.7;5166.0;2376.0;46.0;5138.0;2370.0;46.1
дерябкинское поселение;418.0;201.0;48.1;;;;;;
латная рабочий поселок;7285.0;3322.0;45.6;7528.0;3439.0;45.7;7333.0;3314.0;45.2
городское поселение город бобров;21692.0;10100.0;46.6;19738.0;8862.0;44.9;20806.0;9535.0;45.8
ольшанское поселение;1174.0;573.0;48.8;;;;;;
семидесятское поселение;624.0;304.0;48.7;;;;;;
кирсановское поселение;768.0;364.0;47.4;;;;;;
пчелиновское поселение;1328.0;474.0;35.7;;;;;;
новосильское поселение;1877.0;944.0;50.3;;;;;;
старокриушанское поселение;2116.0;1002.0;47.4;;;;;;
округ город воронеж;1057681.0;480111.0;45.4;975373.0;436802.0;44.8;928410.0;419137.0;45.1
лосевское поселение;4034.0;1895.0;47.0;;;;;;
богучарский район;38087.0;19134.0;50.2;37198.0;17484.0;47.0;40719.0;19441.0;47.7
юдинское поселение;643.0;286.0;44.5;;;;;;
острянское поселение;499.0;246.0;49.3;;;;;;
село петропавловка;4819.0;2247.0;46.6;5250.0;2431.0;46.3;5546.0;2577.0;46.5
кочетовское поселение;478.0;232.0;48.5;;;;;;
ольховатка рабочий поселок;3276.0;1450.0;44.3;3806.0;1673.0;44.0;4424.0;1945.0;44.0
народненское поселение;1894.0;931.0;49.2;;;;;;
воробьевский район;15290.0;7245.0;47.4;18933.0;8928.0;47.2;21759.0;10172.0;46.7
кучугуровское поселение;1138.0;536.0;47.1;;;;;;
семейское поселение;331.0;159.0;48.0;;;;;;
гришевское поселение;1362.0;677.0;49.7;;;;;;
село хреновое;4825.0;2229.0;46.2;4875.0;2160.0;44.3;5553.0;2454.0;44.2
россыпнянское поселение;300.0;139.0;46.3;;;;;;
ковалевское поселение;1758.0;839.0;47.7;;;;;;
мазурское поселение;1046.0;525.0;50.2;;;;;;
чесменское поселение;1085.0;469.0;43.2;;;;;;
село подгорное;;;;9285.0;4249.0;45.8;7789.0;3567.0;45.8
новохоперский рабочий поселок;5948.0;2638.0;44.4;7480.0;3358.0;44.9;7640.0;3372.0;44.1
фисенковское поселение;446.0;230.0;51.6;;;;;;
гаврильское поселение;1264.0;608.0;48.1;;;;;;
нижнедевицкое поселение;5721.0;2559.0;44.7;;;;6409.0;2957.0;46.1
криушанское поселение;1948.0;956.0;49.1;;;;;;
каменка;8057.0;3668.0;45.5;9192.0;4261.0;46.4;9583.0;4386.0;45.8
новомарковское поселение;1302.0;623.0;47.8;;;;;;
заброденское поселение село заброды;8626.0;3995.0;46.3;9222.0;4364.0;47.3;9038.0;4260.0;47.1
лыковское поселение;479.0;229.0;47.8;;;;;;
панинский район;24236.0;11785.0;48.6;29231.0;14395.0;49.2;33017.0;16139.0;48.9
ячейское поселение;469.0;245.0;52.2;;;;;;
еланьколеновский;3274.0;1495.0;45.7;3916.0;1775.0;45.3;4170.0;1925.0;46.2
нороворотаевское поселение;786.0;390.0;49.6;;;;;;
гремяченское поселение;4554.0;2131.0;46.8;;;;;;
сончинское поселение;798.0;375.0;47.0;;;;;;
новочигольское поселение;2609.0;1201.0;46.0;;;;;;
шекаловское поселение;594.0;282.0;47.5;;;;;;
новопостояловское поселение;3287.0;1613.0;49.1;;;;;;
малогрибановское поселение;783.0;377.0;48.1;;;;;;
елизаветовское поселение;2062.0;994.0;48.2;;;;;;
суходонецкое поселение;903.0;459.0;50.8;;;;;;
придонской;;;;18300.0;8253.0;45.1;17133.0;7904.0;46.1
